danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,popularity
0.744,0.328,0,-12.535,1,0.231,0.681,0.0002,0.128,0.532,98.923,audio_features,1d5lpW3gUyq537iuyrb9Lf,spotify:track:1d5lpW3gUyq537iuyrb9Lf,https://api.spotify.com/v1/tracks/1d5lpW3gUyq537iuyrb9Lf,https://api.spotify.com/v1/audio-analysis/1d5lpW3gUyq537iuyrb9Lf,172408,4,Samjho Na,74
0.534,0.863,0,-4.616,1,0.0356,0.015,0.0167,0.144,0.374,98.035,audio_features,5ivRSlOhVIXN2QMzqgsX0s,spotify:track:5ivRSlOhVIXN2QMzqgsX0s,https://api.spotify.com/v1/tracks/5ivRSlOhVIXN2QMzqgsX0s,https://api.spotify.com/v1/audio-analysis/5ivRSlOhVIXN2QMzqgsX0s,313163,4,Aaoge Tum Kabhi,70
0.698,0.334,6,-6.297,0,0.0291,0.721,0.0,0.0836,0.694,94.123,audio_features,3bmsaFp11I9pbicxzlStf3,spotify:track:3bmsaFp11I9pbicxzlStf3,https://api.spotify.com/v1/tracks/3bmsaFp11I9pbicxzlStf3,https://api.spotify.com/v1/audio-analysis/3bmsaFp11I9pbicxzlStf3,171064,4,nadaaniyan,71
0.581,0.822,6,-7.853,1,0.115,0.0404,6.81e-05,0.0772,0.471,168.063,audio_features,0GamKm5LCEwxFh8p2VWvnq,spotify:track:0GamKm5LCEwxFh8p2VWvnq,https://api.spotify.com/v1/tracks/0GamKm5LCEwxFh8p2VWvnq,https://api.spotify.com/v1/audio-analysis/0GamKm5LCEwxFh8p2VWvnq,174286,4,Bye,0
0.571,0.395,2,-10.502,1,0.0372,0.601,0.000247,0.255,0.631,173.998,audio_features,5Z2GQ0eBKoatNYqbGayihP,spotify:track:5Z2GQ0eBKoatNYqbGayihP,https://api.spotify.com/v1/tracks/5Z2GQ0eBKoatNYqbGayihP,https://api.spotify.com/v1/audio-analysis/5Z2GQ0eBKoatNYqbGayihP,148967,4,Lamhey,61
0.512,0.695,4,-6.349,1,0.0271,0.0265,0.00815,0.146,0.351,145.957,audio_features,2qgXrzJsry4KgYoJCpuaul,spotify:track:2qgXrzJsry4KgYoJCpuaul,https://api.spotify.com/v1/tracks/2qgXrzJsry4KgYoJCpuaul,https://api.spotify.com/v1/audio-analysis/2qgXrzJsry4KgYoJCpuaul,233630,4,Choo Lo,2
0.583,0.274,0,-9.778,0,0.0293,0.584,3.17e-05,0.126,0.378,121.859,audio_features,1WXLlS4NR1Fzg44gF54ESK,spotify:track:1WXLlS4NR1Fzg44gF54ESK,https://api.spotify.com/v1/tracks/1WXLlS4NR1Fzg44gF54ESK,https://api.spotify.com/v1/audio-analysis/1WXLlS4NR1Fzg44gF54ESK,186393,4,Sukoon,52
0.46,0.302,1,-12.934,0,0.0398,0.661,0.0,0.293,0.176,123.871,audio_features,0eCajpR75pDW0r64U6hP2x,spotify:track:0eCajpR75pDW0r64U6hP2x,https://api.spotify.com/v1/tracks/0eCajpR75pDW0r64U6hP2x,https://api.spotify.com/v1/audio-analysis/0eCajpR75pDW0r64U6hP2x,251814,5,Jo Tum Mere Ho,84
0.383,0.547,4,-8.862,0,0.0275,0.423,0.0466,0.147,0.236,95.068,audio_features,7hDoxkN20lLb06zifzYnD2,spotify:track:7hDoxkN20lLb06zifzYnD2,https://api.spotify.com/v1/tracks/7hDoxkN20lLb06zifzYnD2,https://api.spotify.com/v1/audio-analysis/7hDoxkN20lLb06zifzYnD2,228640,4,"Ishq - From ""Lost;Found""",75
0.8,0.209,4,-12.652,1,0.0408,0.865,4.11e-05,0.252,0.74,87.972,audio_features,6MZyrnqwsLnrWY5Gk0AyXg,spotify:track:6MZyrnqwsLnrWY5Gk0AyXg,https://api.spotify.com/v1/tracks/6MZyrnqwsLnrWY5Gk0AyXg,https://api.spotify.com/v1/audio-analysis/6MZyrnqwsLnrWY5Gk0AyXg,184091,4,Farq hai,64
0.775,0.418,6,-10.342,1,0.0327,0.527,0.0,0.108,0.822,108.057,audio_features,4XA2TXEycTQL3xhPV7L2kt,spotify:track:4XA2TXEycTQL3xhPV7L2kt,https://api.spotify.com/v1/tracks/4XA2TXEycTQL3xhPV7L2kt,https://api.spotify.com/v1/audio-analysis/4XA2TXEycTQL3xhPV7L2kt,143472,4,Savera,64
0.533,0.678,1,-5.244,1,0.0256,0.663,0.0,0.145,0.683,80.96,audio_features,3hB9lDLyAClYVZivMMl20N,spotify:track:3hB9lDLyAClYVZivMMl20N,https://api.spotify.com/v1/tracks/3hB9lDLyAClYVZivMMl20N,https://api.spotify.com/v1/audio-analysis/3hB9lDLyAClYVZivMMl20N,163653,4,Co2,69
0.656,0.691,9,-7.151,1,0.0865,0.15,1.36e-05,0.229,0.544,101.978,audio_features,5cmfHLMKcfe24nzVW43BOv,spotify:track:5cmfHLMKcfe24nzVW43BOv,https://api.spotify.com/v1/tracks/5cmfHLMKcfe24nzVW43BOv,https://api.spotify.com/v1/audio-analysis/5cmfHLMKcfe24nzVW43BOv,176471,4,Mauhalle,54
0.527,0.376,5,-9.974,1,0.0298,0.682,0.0,0.142,0.24,151.928,audio_features,0TL0LFcwIBF5eX7arDIKxY,spotify:track:0TL0LFcwIBF5eX7arDIKxY,https://api.spotify.com/v1/tracks/0TL0LFcwIBF5eX7arDIKxY,https://api.spotify.com/v1/audio-analysis/0TL0LFcwIBF5eX7arDIKxY,217895,4,Husn,79
0.688,0.523,2,-8.67,1,0.0349,0.365,0.0038,0.122,0.284,100.055,audio_features,6KvXpACADAz73IPrCgXobL,spotify:track:6KvXpACADAz73IPrCgXobL,https://api.spotify.com/v1/tracks/6KvXpACADAz73IPrCgXobL,https://api.spotify.com/v1/audio-analysis/6KvXpACADAz73IPrCgXobL,158448,4,Alfaazo,61
0.443,0.396,7,-11.071,1,0.037,0.891,0.0,0.0926,0.488,89.114,audio_features,3eSm4iAkLsn3BeggfiQOH9,spotify:track:3eSm4iAkLsn3BeggfiQOH9,https://api.spotify.com/v1/tracks/3eSm4iAkLsn3BeggfiQOH9,https://api.spotify.com/v1/audio-analysis/3eSm4iAkLsn3BeggfiQOH9,120000,4,"Kaise Ab Kahein - From ""Gutar Gu""",65
0.775,0.536,1,-9.011,1,0.0741,0.25,0.0,0.0708,0.423,91.001,audio_features,2AB7fsbG0eZJjDGile69CQ,spotify:track:2AB7fsbG0eZJjDGile69CQ,https://api.spotify.com/v1/tracks/2AB7fsbG0eZJjDGile69CQ,https://api.spotify.com/v1/audio-analysis/2AB7fsbG0eZJjDGile69CQ,190549,4,Mera Safar,60
0.724,0.618,2,-9.007,1,0.0534,0.0533,0.704,0.0886,0.0683,100.021,audio_features,2l3dFxtoSMgMQVyRIUHjpz,spotify:track:2l3dFxtoSMgMQVyRIUHjpz,https://api.spotify.com/v1/tracks/2l3dFxtoSMgMQVyRIUHjpz,https://api.spotify.com/v1/audio-analysis/2l3dFxtoSMgMQVyRIUHjpz,191869,4,Akhiyaan,67
0.544,0.307,10,-11.361,1,0.0334,0.791,0.0,0.11,0.335,177.808,audio_features,1ZiReD9pPTttQWwSoYqdyH,spotify:track:1ZiReD9pPTttQWwSoYqdyH,https://api.spotify.com/v1/tracks/1ZiReD9pPTttQWwSoYqdyH,https://api.spotify.com/v1/audio-analysis/1ZiReD9pPTttQWwSoYqdyH,221271,4,Aankhon Se Batana,67
0.958,0.152,5,-11.555,0,0.107,0.837,0.0,0.111,0.867,105.965,audio_features,13nrujwIxpJl1xtoDpvxyY,spotify:track:13nrujwIxpJl1xtoDpvxyY,https://api.spotify.com/v1/tracks/13nrujwIxpJl1xtoDpvxyY,https://api.spotify.com/v1/audio-analysis/13nrujwIxpJl1xtoDpvxyY,134140,4,Uljhan,57
0.775,0.407,6,-9.377,1,0.106,0.703,0.0,0.293,0.492,119.906,audio_features,0FCe2NhPWKiSTAipf0lOAT,spotify:track:0FCe2NhPWKiSTAipf0lOAT,https://api.spotify.com/v1/tracks/0FCe2NhPWKiSTAipf0lOAT,https://api.spotify.com/v1/audio-analysis/0FCe2NhPWKiSTAipf0lOAT,208250,4,Chor,0
0.619,0.364,7,-9.447,1,0.127,0.288,0.0,0.322,0.422,169.708,audio_features,01JcMZVoGUIWpCacWTiJzb,spotify:track:01JcMZVoGUIWpCacWTiJzb,https://api.spotify.com/v1/tracks/01JcMZVoGUIWpCacWTiJzb,https://api.spotify.com/v1/audio-analysis/01JcMZVoGUIWpCacWTiJzb,153882,4,Jaadugari,50
0.702,0.326,1,-11.575,1,0.0313,0.731,0.000287,0.146,0.556,110.022,audio_features,7fY8qVujvm5lZBrt5Y1sIJ,spotify:track:7fY8qVujvm5lZBrt5Y1sIJ,https://api.spotify.com/v1/tracks/7fY8qVujvm5lZBrt5Y1sIJ,https://api.spotify.com/v1/audio-analysis/7fY8qVujvm5lZBrt5Y1sIJ,149750,4,Khayaal,47
0.405,0.56,1,-8.869,1,0.0766,0.819,0.00844,0.162,0.608,128.258,audio_features,1GMFeGQBppaepcx6NsR7qB,spotify:track:1GMFeGQBppaepcx6NsR7qB,https://api.spotify.com/v1/tracks/1GMFeGQBppaepcx6NsR7qB,https://api.spotify.com/v1/audio-analysis/1GMFeGQBppaepcx6NsR7qB,144923,4,Sunday,56
0.717,0.182,4,-13.629,1,0.0355,0.736,0.000248,0.0746,0.232,81.99,audio_features,7uZLUFqPgGqwzD5rzOl8Sa,spotify:track:7uZLUFqPgGqwzD5rzOl8Sa,https://api.spotify.com/v1/tracks/7uZLUFqPgGqwzD5rzOl8Sa,https://api.spotify.com/v1/audio-analysis/7uZLUFqPgGqwzD5rzOl8Sa,246520,4,Mulaqat,58
0.335,0.352,4,-13.189,1,0.0413,0.642,0.00837,0.133,0.186,110.822,audio_features,4trQhzRfEN0z5htXvjc5zA,spotify:track:4trQhzRfEN0z5htXvjc5zA,https://api.spotify.com/v1/tracks/4trQhzRfEN0z5htXvjc5zA,https://api.spotify.com/v1/audio-analysis/4trQhzRfEN0z5htXvjc5zA,212922,4,Tu Chodiyon Na,53
0.676,0.376,2,-11.282,1,0.0351,0.887,0.000183,0.0853,0.226,113.948,audio_features,0iEdt7cayQ2XbicDeWFztj,spotify:track:0iEdt7cayQ2XbicDeWFztj,https://api.spotify.com/v1/tracks/0iEdt7cayQ2XbicDeWFztj,https://api.spotify.com/v1/audio-analysis/0iEdt7cayQ2XbicDeWFztj,178421,4,Khwaab,52
0.475,0.124,2,-9.463,1,0.0444,0.926,0.0,0.0972,0.19,94.42,audio_features,5iCY0TXNImK4hyKfcplQsg,spotify:track:5iCY0TXNImK4hyKfcplQsg,https://api.spotify.com/v1/tracks/5iCY0TXNImK4hyKfcplQsg,https://api.spotify.com/v1/audio-analysis/5iCY0TXNImK4hyKfcplQsg,207310,4,Baarishein,2
0.454,0.215,0,-14.226,1,0.0543,0.863,0.0,0.109,0.383,139.871,audio_features,2Repz4eP8qEqOVz8CltLZ0,spotify:track:2Repz4eP8qEqOVz8CltLZ0,https://api.spotify.com/v1/tracks/2Repz4eP8qEqOVz8CltLZ0,https://api.spotify.com/v1/audio-analysis/2Repz4eP8qEqOVz8CltLZ0,274286,4,Baawra,57
0.606,0.597,4,-7.963,0,0.0381,0.208,0.0,0.0831,0.2,107.994,audio_features,1Y5treJOPB7WnAMZnsA5u8,spotify:track:1Y5treJOPB7WnAMZnsA5u8,https://api.spotify.com/v1/tracks/1Y5treJOPB7WnAMZnsA5u8,https://api.spotify.com/v1/audio-analysis/1Y5treJOPB7WnAMZnsA5u8,191111,4,Junoon,0
0.648,0.45,5,-9.57,0,0.167,0.134,7.31e-05,0.137,0.472,99.932,audio_features,6PSGzXHJaQogb2G8m8gGZZ,spotify:track:6PSGzXHJaQogb2G8m8gGZZ,https://api.spotify.com/v1/tracks/6PSGzXHJaQogb2G8m8gGZZ,https://api.spotify.com/v1/audio-analysis/6PSGzXHJaQogb2G8m8gGZZ,182400,4,Dhundhala,0
0.776,0.477,1,-10.049,1,0.0308,0.592,0.000184,0.105,0.774,115.008,audio_features,1EuQFujqMzy76oZZ7R2xNO,spotify:track:1EuQFujqMzy76oZZ7R2xNO,https://api.spotify.com/v1/tracks/1EuQFujqMzy76oZZ7R2xNO,https://api.spotify.com/v1/audio-analysis/1EuQFujqMzy76oZZ7R2xNO,225391,4,Pahadon Mein,48
0.675,0.432,10,-9.076,0,0.0332,0.551,0.0,0.0772,0.431,100.007,audio_features,0eLtIxPRNJfsmehITZ1qaJ,spotify:track:0eLtIxPRNJfsmehITZ1qaJ,https://api.spotify.com/v1/tracks/0eLtIxPRNJfsmehITZ1qaJ,https://api.spotify.com/v1/audio-analysis/0eLtIxPRNJfsmehITZ1qaJ,190098,4,Sahiba,55
0.765,0.642,7,-8.48,0,0.115,0.243,0.00104,0.339,0.822,148.465,audio_features,1zzejMGRYKP5XOa3FmzXfa,spotify:track:1zzejMGRYKP5XOa3FmzXfa,https://api.spotify.com/v1/tracks/1zzejMGRYKP5XOa3FmzXfa,https://api.spotify.com/v1/audio-analysis/1zzejMGRYKP5XOa3FmzXfa,181818,3,"Katchi Sera - From ""Think Indie""",71
0.773,0.495,6,-5.565,1,0.0496,0.357,4.64e-05,0.136,0.623,130.046,audio_features,2dEvh4AAZvD8qwq0VGTAe6,spotify:track:2dEvh4AAZvD8qwq0VGTAe6,https://api.spotify.com/v1/tracks/2dEvh4AAZvD8qwq0VGTAe6,https://api.spotify.com/v1/audio-analysis/2dEvh4AAZvD8qwq0VGTAe6,166615,4,Aasmaan Jaley,49
0.558,0.497,8,-7.175,1,0.0256,0.0285,5.36e-06,0.0799,0.444,107.047,audio_features,08kTa3SL9sV6Iy8KLKtGql,spotify:track:08kTa3SL9sV6Iy8KLKtGql,https://api.spotify.com/v1/tracks/08kTa3SL9sV6Iy8KLKtGql,https://api.spotify.com/v1/audio-analysis/08kTa3SL9sV6Iy8KLKtGql,197549,4,Kasoor,63
0.741,0.617,2,-7.226,1,0.0281,0.65,2.1e-06,0.264,0.491,107.993,audio_features,4xjl6sWP6L2CxuuJ2Ue3U0,spotify:track:4xjl6sWP6L2CxuuJ2Ue3U0,https://api.spotify.com/v1/tracks/4xjl6sWP6L2CxuuJ2Ue3U0,https://api.spotify.com/v1/audio-analysis/4xjl6sWP6L2CxuuJ2Ue3U0,190000,4,Tuu,41
0.586,0.574,7,-10.934,0,0.0628,0.818,0.000398,0.101,0.434,171.883,audio_features,4L0bU9ecxMP6U6o0ZnPyCt,spotify:track:4L0bU9ecxMP6U6o0ZnPyCt,https://api.spotify.com/v1/tracks/4L0bU9ecxMP6U6o0ZnPyCt,https://api.spotify.com/v1/audio-analysis/4L0bU9ecxMP6U6o0ZnPyCt,174419,4,Kaise Banu,44
0.775,0.527,2,-6.342,0,0.0356,0.44,3.54e-06,0.114,0.615,104.964,audio_features,6NWgIuDeOr1Xeb4MZ1Bl6L,spotify:track:6NWgIuDeOr1Xeb4MZ1Bl6L,https://api.spotify.com/v1/tracks/6NWgIuDeOr1Xeb4MZ1Bl6L,https://api.spotify.com/v1/audio-analysis/6NWgIuDeOr1Xeb4MZ1Bl6L,162286,4,Saajanwa,45
0.367,0.246,1,-12.589,1,0.0427,0.906,0.0,0.122,0.336,173.406,audio_features,38CMq8hlI8zIzGbENBBG1P,spotify:track:38CMq8hlI8zIzGbENBBG1P,https://api.spotify.com/v1/tracks/38CMq8hlI8zIzGbENBBG1P,https://api.spotify.com/v1/audio-analysis/38CMq8hlI8zIzGbENBBG1P,198689,3,Tu Aazma,41
0.715,0.43,6,-12.266,1,0.0467,0.879,0.025,0.0937,0.699,86.984,audio_features,3euf8ftyX9tjpqXJgF5NlM,spotify:track:3euf8ftyX9tjpqXJgF5NlM,https://api.spotify.com/v1/tracks/3euf8ftyX9tjpqXJgF5NlM,https://api.spotify.com/v1/audio-analysis/3euf8ftyX9tjpqXJgF5NlM,191015,4,Mann,48
0.576,0.72,9,-3.842,1,0.0409,0.438,0.0,0.0814,0.6,140.031,audio_features,3wwLWFRLiReDf5AqgmAJwT,spotify:track:3wwLWFRLiReDf5AqgmAJwT,https://api.spotify.com/v1/tracks/3wwLWFRLiReDf5AqgmAJwT,https://api.spotify.com/v1/audio-analysis/3wwLWFRLiReDf5AqgmAJwT,223108,4,Heer Ranjha,66
0.656,0.381,9,-7.447,1,0.18,0.536,0.000184,0.356,0.462,164.949,audio_features,764XnzLSpfB7VSMkKywfMB,spotify:track:764XnzLSpfB7VSMkKywfMB,https://api.spotify.com/v1/tracks/764XnzLSpfB7VSMkKywfMB,https://api.spotify.com/v1/audio-analysis/764XnzLSpfB7VSMkKywfMB,234375,4,Baaton Baaton Main,41
0.478,0.374,8,-11.627,0,0.0361,0.628,0.000736,0.0979,0.218,76.163,audio_features,5iaKalECn9aYPfh9w07yOX,spotify:track:5iaKalECn9aYPfh9w07yOX,https://api.spotify.com/v1/tracks/5iaKalECn9aYPfh9w07yOX,https://api.spotify.com/v1/audio-analysis/5iaKalECn9aYPfh9w07yOX,197763,4,Kho Gaye,0
0.613,0.685,10,-7.993,1,0.0419,0.212,0.0615,0.0926,0.268,139.985,audio_features,3F2BSn4ayglzMwquBRHZq6,spotify:track:3F2BSn4ayglzMwquBRHZq6,https://api.spotify.com/v1/tracks/3F2BSn4ayglzMwquBRHZq6,https://api.spotify.com/v1/audio-analysis/3F2BSn4ayglzMwquBRHZq6,214000,4,Rangi Saari,57
0.436,0.526,9,-9.595,0,0.0314,0.68,3.92e-05,0.169,0.373,92.741,audio_features,0Dea6lSNStSGx3XiLqXIT9,spotify:track:0Dea6lSNStSGx3XiLqXIT9,https://api.spotify.com/v1/tracks/0Dea6lSNStSGx3XiLqXIT9,https://api.spotify.com/v1/audio-analysis/0Dea6lSNStSGx3XiLqXIT9,168065,4,Narazi,49
0.681,0.667,8,-7.339,1,0.0345,0.0344,0.000187,0.0943,0.372,100.001,audio_features,6oURWs2pULRYC9JAhLEaw8,spotify:track:6oURWs2pULRYC9JAhLEaw8,https://api.spotify.com/v1/tracks/6oURWs2pULRYC9JAhLEaw8,https://api.spotify.com/v1/audio-analysis/6oURWs2pULRYC9JAhLEaw8,258717,4,Muskurahat,58
0.6,0.294,6,-12.301,1,0.0292,0.871,8.66e-05,0.102,0.342,86.97,audio_features,0NLkVxf0PyxsXBG3EuZcJf,spotify:track:0NLkVxf0PyxsXBG3EuZcJf,https://api.spotify.com/v1/tracks/0NLkVxf0PyxsXBG3EuZcJf,https://api.spotify.com/v1/audio-analysis/0NLkVxf0PyxsXBG3EuZcJf,217241,4,Gul,1
0.614,0.468,9,-7.147,1,0.0275,0.732,3.81e-05,0.336,0.4,114.07,audio_features,5MQLDkiEagOTLKpfa59a06,spotify:track:5MQLDkiEagOTLKpfa59a06,https://api.spotify.com/v1/tracks/5MQLDkiEagOTLKpfa59a06,https://api.spotify.com/v1/audio-analysis/5MQLDkiEagOTLKpfa59a06,190601,4,Jadoo,52
0.644,0.326,2,-10.336,1,0.0287,0.817,0.0,0.0915,0.108,109.95,audio_features,4ByPoS1tU7Gvbimkj29GQu,spotify:track:4ByPoS1tU7Gvbimkj29GQu,https://api.spotify.com/v1/tracks/4ByPoS1tU7Gvbimkj29GQu,https://api.spotify.com/v1/audio-analysis/4ByPoS1tU7Gvbimkj29GQu,227000,1,Laut Aao Na,40
0.609,0.539,0,-8.087,1,0.0284,0.138,0.00014,0.286,0.413,99.995,audio_features,0P4AQdNDgEdi7J8mpgY8Jx,spotify:track:0P4AQdNDgEdi7J8mpgY8Jx,https://api.spotify.com/v1/tracks/0P4AQdNDgEdi7J8mpgY8Jx,https://api.spotify.com/v1/audio-analysis/0P4AQdNDgEdi7J8mpgY8Jx,178198,4,Khoya,45
0.629,0.652,9,-8.926,1,0.0386,0.522,6.96e-05,0.222,0.492,83.993,audio_features,6k1hBhDbcwyh1KuSFAoLTJ,spotify:track:6k1hBhDbcwyh1KuSFAoLTJ,https://api.spotify.com/v1/tracks/6k1hBhDbcwyh1KuSFAoLTJ,https://api.spotify.com/v1/audio-analysis/6k1hBhDbcwyh1KuSFAoLTJ,172824,4,Tere Bina,44
0.528,0.415,0,-11.882,0,0.036,0.856,0.0307,0.0995,0.333,81.0,audio_features,36zJvaFktpReO0ZpO7zK7H,spotify:track:36zJvaFktpReO0ZpO7zK7H,https://api.spotify.com/v1/tracks/36zJvaFktpReO0ZpO7zK7H,https://api.spotify.com/v1/audio-analysis/36zJvaFktpReO0ZpO7zK7H,192593,4,Noor,47
0.659,0.345,11,-8.464,1,0.107,0.106,0.0,0.107,0.338,84.761,audio_features,322TxW77VZdX9gHynK5Xue,spotify:track:322TxW77VZdX9gHynK5Xue,https://api.spotify.com/v1/tracks/322TxW77VZdX9gHynK5Xue,https://api.spotify.com/v1/audio-analysis/322TxW77VZdX9gHynK5Xue,193426,4,Aaj Na,50
0.534,0.461,2,-11.292,1,0.0295,0.795,1.51e-06,0.114,0.244,145.972,audio_features,6BvRzfqi3sMAoQYnRpMVL0,spotify:track:6BvRzfqi3sMAoQYnRpMVL0,https://api.spotify.com/v1/tracks/6BvRzfqi3sMAoQYnRpMVL0,https://api.spotify.com/v1/audio-analysis/6BvRzfqi3sMAoQYnRpMVL0,212055,4,Mazaak,0
0.401,0.407,1,-10.883,1,0.0334,0.824,0.0894,0.0873,0.134,178.127,audio_features,7GfUW14lAQO18Iazx8VpwL,spotify:track:7GfUW14lAQO18Iazx8VpwL,https://api.spotify.com/v1/tracks/7GfUW14lAQO18Iazx8VpwL,https://api.spotify.com/v1/audio-analysis/7GfUW14lAQO18Iazx8VpwL,191461,4,Woh Raat,0
0.588,0.283,8,-12.663,1,0.0364,0.863,0.0,0.121,0.284,82.044,audio_features,7EYEswNmA0XjzwUitONgzK,spotify:track:7EYEswNmA0XjzwUitONgzK,https://api.spotify.com/v1/tracks/7EYEswNmA0XjzwUitONgzK,https://api.spotify.com/v1/audio-analysis/7EYEswNmA0XjzwUitONgzK,313171,4,Tuta Pull Wahan,52
0.78,0.46,6,-7.516,1,0.0851,0.455,0.000141,0.061,0.788,124.007,audio_features,1rDjwexewf4hrdZT7SRNsH,spotify:track:1rDjwexewf4hrdZT7SRNsH,https://api.spotify.com/v1/tracks/1rDjwexewf4hrdZT7SRNsH,https://api.spotify.com/v1/audio-analysis/1rDjwexewf4hrdZT7SRNsH,287573,4,Nasha (Equals Sessions),51
0.604,0.344,5,-11.237,1,0.0441,0.869,1.98e-06,0.111,0.495,145.926,audio_features,09FfppwkzTccGQFWcglxGD,spotify:track:09FfppwkzTccGQFWcglxGD,https://api.spotify.com/v1/tracks/09FfppwkzTccGQFWcglxGD,https://api.spotify.com/v1/audio-analysis/09FfppwkzTccGQFWcglxGD,192324,3,Parda,0
0.5,0.677,0,-7.73,0,0.0634,0.21,0.0,0.118,0.524,149.751,audio_features,18qN1yxa4SVwmykQq1Icrl,spotify:track:18qN1yxa4SVwmykQq1Icrl,https://api.spotify.com/v1/tracks/18qN1yxa4SVwmykQq1Icrl,https://api.spotify.com/v1/audio-analysis/18qN1yxa4SVwmykQq1Icrl,162207,3,Khayaal,49
0.653,0.446,0,-7.867,1,0.0351,0.546,4.52e-05,0.109,0.472,100.018,audio_features,6E6BCsQHXDAdXsrL7zV71N,spotify:track:6E6BCsQHXDAdXsrL7zV71N,https://api.spotify.com/v1/tracks/6E6BCsQHXDAdXsrL7zV71N,https://api.spotify.com/v1/audio-analysis/6E6BCsQHXDAdXsrL7zV71N,218550,4,Roz Roz,54
0.528,0.457,2,-9.944,1,0.037,0.838,0.0354,0.158,0.248,85.042,audio_features,520NVZmA0cXVRrUUg0hOsc,spotify:track:520NVZmA0cXVRrUUg0hOsc,https://api.spotify.com/v1/tracks/520NVZmA0cXVRrUUg0hOsc,https://api.spotify.com/v1/audio-analysis/520NVZmA0cXVRrUUg0hOsc,173765,4,Katputli Ke Dhaage,47
0.699,0.299,6,-12.599,1,0.0403,0.869,0.0,0.0724,0.459,118.969,audio_features,74kCarkFBzXYXNkkYJIsG0,spotify:track:74kCarkFBzXYXNkkYJIsG0,https://api.spotify.com/v1/tracks/74kCarkFBzXYXNkkYJIsG0,https://api.spotify.com/v1/audio-analysis/74kCarkFBzXYXNkkYJIsG0,212773,4,Alag Aasmaan,1
0.555,0.205,4,-16.452,1,0.0329,0.916,0.056,0.112,0.216,145.004,audio_features,1lIYP8fDGGnp91OMTUnwjV,spotify:track:1lIYP8fDGGnp91OMTUnwjV,https://api.spotify.com/v1/tracks/1lIYP8fDGGnp91OMTUnwjV,https://api.spotify.com/v1/audio-analysis/1lIYP8fDGGnp91OMTUnwjV,243310,3,Waqt Ki Baatein,0
0.729,0.396,0,-8.98,1,0.0359,0.796,0.0,0.104,0.886,97.281,audio_features,0snQrp1VaY5Pj1YIHRJpRJ,spotify:track:0snQrp1VaY5Pj1YIHRJpRJ,https://api.spotify.com/v1/tracks/0snQrp1VaY5Pj1YIHRJpRJ,https://api.spotify.com/v1/audio-analysis/0snQrp1VaY5Pj1YIHRJpRJ,103265,4,Chaand Baaliyan,70
0.655,0.473,8,-9.806,1,0.0267,0.842,0.0323,0.167,0.572,92.962,audio_features,6ZmtxXUXRVjxOhugKkmerC,spotify:track:6ZmtxXUXRVjxOhugKkmerC,https://api.spotify.com/v1/tracks/6ZmtxXUXRVjxOhugKkmerC,https://api.spotify.com/v1/audio-analysis/6ZmtxXUXRVjxOhugKkmerC,211290,4,Dil Mere,0
0.59,0.63,9,-6.735,1,0.0279,0.469,1.02e-05,0.15,0.227,119.962,audio_features,6J4oLY2GEwOsUgEd50IpKy,spotify:track:6J4oLY2GEwOsUgEd50IpKy,https://api.spotify.com/v1/tracks/6J4oLY2GEwOsUgEd50IpKy,https://api.spotify.com/v1/audio-analysis/6J4oLY2GEwOsUgEd50IpKy,245500,4,Baarish Ka Asar,50
0.738,0.305,0,-9.667,1,0.0286,0.851,1.74e-05,0.15,0.489,116.07,audio_features,1TkyDEdjiUuYhoMkxdZCiO,spotify:track:1TkyDEdjiUuYhoMkxdZCiO,https://api.spotify.com/v1/tracks/1TkyDEdjiUuYhoMkxdZCiO,https://api.spotify.com/v1/audio-analysis/1TkyDEdjiUuYhoMkxdZCiO,177027,1,Tere Hi Hum,51
